Date|Open|High|Low|Close|Volume|Change
2017-09-06|46760|47180|46700|47000|216221|0.0051325919589393365
2017-09-07|47000|48220|47000|48120|193530|0.0238297872340425
2017-09-08|48700|49180|48580|49080|217860|0.01995012468827939
2017-09-11|49700|50180|49500|49800|207495|0.014669926650366705
2017-09-12|50200|50220|49140|49600|240595|-0.004016064257028162
2017-09-13|49820|50400|49440|49620|187140|0.00040322580645169026
2017-09-14|50060|50320|49760|50300|284095|0.01370415155179372
2017-09-15|50300|50560|49860|50400|215146|0.001988071570576455
2017-09-18|50540|52480|50520|52480|230499|0.041269841269841345
2017-09-19|52500|52640|51780|52120|197008|-0.006859756097560954
2017-09-20|52120|52500|51840|52220|185855|0.0019186492709133418
2017-09-21|52219|52960|52219|52800|176796|0.011106855610877098
2017-09-22|52960|53600|52459|53000|278448|0.0037878787878788955
2017-09-25|52999|53679|52999|53620|186062|0.0116981132075471
2017-09-26|53020|53120|51560|51660|341144|-0.036553524804177506
2017-09-27|52000|52200|51500|51680|215940|0.00038714672861006605
2017-09-28|52260|52460|51260|51260|240509|-0.008126934984520107
2017-09-29|51180|51620|50840|51280|258188|0.0003901677721420693
2017-10-10|53360|53640|52799|52800|410396|0.029641185647425905
2017-10-11|53600|54760|53340|54640|273043|0.034848484848484906
2017-10-12|54840|55160|54099|54800|277814|0.002928257686676483
2017-10-13|54540|54840|53780|54000|252033|-0.014598540145985384
2017-10-16|53980|54860|53760|53920|195399|-0.001481481481481528
2017-10-17|54019|55380|54000|54800|212156|0.016320474777448135
2017-10-18|54820|55240|54039|54760|202215|-0.0007299270072992359
2017-10-19|54699|54699|52980|52980|242174|-0.032505478451424374
2017-10-20|52800|54100|52800|53840|160541|0.016232540581351484
2017-10-23|54600|54640|54000|54300|166221|0.008543833580980653
2017-10-24|54699|54780|54040|54040|116121|-0.0047882136279926435
2017-10-25|54040|54420|53699|53900|117657|-0.002590673575129543
2017-10-26|53720|53900|52400|52400|195531|-0.0278293135435993
2017-10-27|52400|53320|52140|53080|147850|0.012977099236641143
2017-10-30|53780|54320|53699|54040|163923|0.018085908063300682
2017-10-31|54060|55440|53500|55080|267631|0.01924500370096216
2017-11-01|57500|57500|56179|57220|290205|0.038852578068264254
2017-11-02|57500|57519|56760|57060|214421|-0.0027962250961202084
2017-11-03|57059|57140|55860|56380|198716|-0.01191728005608128
2017-11-06|56380|56500|55340|56380|180019|0.0
2017-11-07|56380|56920|55860|56100|149291|-0.00496630010642074
2017-11-08|56100|57060|55860|56760|170404|0.0117647058823529
2017-11-09|56920|56920|55899|56340|239881|-0.007399577167019
2017-11-10|55800|56540|55780|56400|134976|0.0010649627263046302
2017-11-13|56400|56799|56100|56380|176133|-0.00035460992907798694
2017-11-14|56380|56740|55920|55920|134500|-0.008158921603405478
2017-11-15|55920|56319|55320|55340|176339|-0.0103719599427754
2017-11-16|55440|56000|55400|55780|152814|0.007950849295265572
2017-11-17|56399|56880|55820|55820|214663|0.0007171029042667421
2017-11-20|55900|55980|55200|55200|189455|-0.01110713006091002
2017-11-21|55400|55839|55280|55280|206494|0.0014492753623187582
2017-11-22|55980|56200|55620|55960|159059|0.012301013024601959
2017-11-23|55960|55979|55020|55300|125458|-0.01179413867047896
2017-11-24|55300|55500|55180|55460|90724|0.002893309222423257
2017-11-27|55360|55360|52640|52640|362578|-0.05084745762711862
2017-11-28|52699|53280|51720|53280|269988|0.012158054711246091
2017-11-29|53200|53240|52500|52600|191805|-0.01276276276276278
2017-11-30|50800|51860|50200|50800|592683|-0.034220532319391594
2017-12-01|50800|51780|50800|50840|257372|0.0007874015748030594
2017-12-04|50840|51340|50020|51340|297301|0.009834775767112447
2017-12-05|50600|51300|50280|51260|186531|-0.001558239189715649
2017-12-06|51260|51560|50020|50020|217784|-0.0241904018728053
2017-12-07|50040|50980|50020|50740|221312|0.01439424230307873
2017-12-08|51360|52000|51040|52000|225809|0.024832479306267308
2017-12-11|52000|52040|51500|51780|162517|-0.00423076923076926
2017-12-12|51820|52100|51660|52100|175301|0.006179992275009649
2017-12-13|52100|52100|51100|51320|226674|-0.01497120921305184
2017-12-14|51320|52280|51060|51060|406208|-0.005066250974279041
2017-12-15|51240|51480|50520|50620|298571|-0.008617312965139012
2017-12-18|50620|51240|50620|51200|147005|0.011457921770051449
2017-12-19|51540|52080|51520|51560|239572|0.007031250000000044
2017-12-20|51500|51760|50820|50880|201611|-0.013188518231186941
2017-12-21|51000|51060|49100|49140|312486|-0.034198113207547176
2017-12-22|49400|49960|49240|49700|223993|0.01139601139601143
2017-12-26|49760|50100|48200|48200|320797|-0.030181086519114664
2017-12-27|48960|49560|48460|49360|214872|0.02406639004149369
2017-12-28|49560|50960|49500|50960|179709|0.03241491085899506
2018-01-02|51380|51400|50780|51020|169485|0.0011773940345369827
2018-01-03|52540|52560|51420|51620|200270|0.011760094080752737
2018-01-04|52120|52180|50640|51080|233909|-0.010461061604029487
2018-01-05|51300|52120|51200|52120|189623|0.02036021926389986
2018-01-08|52400|52520|51500|52020|167673|-0.0019186492709132308
2018-01-09|51460|51720|49980|50400|360272|-0.03114186851211076
2018-01-10|50500|50520|48640|48840|371336|-0.030952380952380953
2018-01-11|48200|49260|48020|48240|502476|-0.012285012285012331
2018-01-12|48240|48480|46760|48200|545409|-0.0008291873963516272
2018-01-15|48800|48980|47920|48540|201920|0.007053941908713668
2018-01-16|48760|50140|48620|50000|407793|0.030078285949732164
2018-01-17|50020|50020|49060|49620|221061|-0.007600000000000051
2018-01-18|50020|50640|49820|49900|296977|0.005642885933091479
2018-01-19|50380|50380|49040|49320|184399|-0.011623246492985961
2018-01-22|48640|48680|47960|48240|250418|-0.021897810218978075
2018-01-23|48660|49160|48300|49160|270654|0.019071310116086204
2018-01-24|48860|49700|48560|49340|191010|0.003661513425549323
